BH24,50.84377,-1.78551
BH25,50.75173,-1.65692
BH3,50.73508,-1.87954
BH31,50.87537,-1.87207
BH4,50.72071,-1.89799
BH5,50.72513,-1.83422
BH6,50.72688,-1.80446
BH7,50.73502,-1.83135
BH8,50.74044,-1.85118
BH9,50.74946,-1.871
BL0,53.64526,-2.31468
BL1,53.59002,-2.44421
BL2,53.58749,-2.39432
BL3,53.56489,-2.43186
BL4,53.54702,-2.39999
BL5,53.54928,-2.51473
BL6,53.59142,-2.53941
BL7,53.62965,-2.42194
BL8,53.60478,-2.32647
BL9,53.5914,-2.28557
BN1,50.839,-0.13786
BN10,50.7953,0.00232
BN11,50.81288,-0.37599
BN12,50.81354,-0.42423
BN13,50.83037,-0.40521
BN14,50.83181,-0.37959
BN15,50.83013,-0.32426
BN16,50.81446,-0.49377
BN17,50.81408,-0.53495
BN18,50.84881,-0.57933
BN2,50.82405,-0.10296
BN20,50.77449,0.25536
BN21,50.77228,0.27653
BN22,50.78832,0.2844
BN23,50.79764,0.31325
BN24,50.81618,0.3312
BN25,50.77633,0.10932
BN26,50.82098,0.22352
BN27,50.87146,0.2643
BN3,50.83419,-0.17498
BN41,50.8402,-0.21452
BN42,50.83686,-0.23169
BN43,50.83557,-0.26583
BN44,50.89036,-0.3221
BN45,50.8892,-0.18421
BN5,50.92645,-0.26815
BN6,50.92918,-0.15276
BN7,50.87719,0.00014
BN8,50.91318,0.05148
BN9,50.79536,0.05058
BR1,51.41107,0.02192
BR2,51.38858,0.02237
BR3,51.40297,-0.0302
BR4,51.37559,-0.00695
BR5,51.38983,0.10436
BR6,51.36575,0.0932
BR7,51.41019,0.07222
BR8,51.39751,0.1766
BS1,51.45309,-2.593
BS10,51.50606,-2.60954
BS11,51.49672,-2.67425
BS13,51.41163,-2.61116
BS14,51.41278,-2.56084
BS15,51.4589,-2.50527
BS16,51.48496,-2.50988
BS2,51.45945,-2.58013
BS20,51.47916,-2.75176
BS21,51.43443,-2.84886
BS22,51.36008,-2.92936
BS23,51.34266,-2.97065
BS24,51.32769,-2.93158
BS25,51.32039,-2.82522
BS26,51.27971,-2.85461
BS27,51.27131,-2.76987
BS28,51.22515,-2.81349
BS29,51.33081,-2.87709
BS3,51.43776,-2.60144
BS30,51.44465,-2.47201
BS31,51.4077,-2.49176
BS32,51.54228,-2.55955
BS34,51.52338,-2.56364
BS35,51.59629,-2.54866
BS36,51.52553,-2.48582
BS37,51.53928,-2.41675
BS39,51.32749,-2.53109
BS4,51.43437,-2.56111
BS40,51.34644,-2.69071
BS41,51.42221,-2.65158
BS48,51.42523,-2.748
BS49,51.3798,-2.81767
BS5,51.4614,-2.54992
BS6,51.47015,-2.59898
BS7,51.48643,-2.58047
BS8,51.45745,-2.62041
BS9,51.4871,-2.62513
BS99,51.45769,-2.57291
BT1,54.59941,-5.92838
BT10,54.55983,-5.98338
BT11,54.57556,-5.9973
BT12,54.59223,-5.95557
BT13,54.60563,-5.95842
BT14,54.62082,-5.96144
BT15,54.62362,-5.93071
BT16,54.591,-5.79746
BT17,54.55423,-6.01688
BT18,54.64154,-5.82079
BT19,54.6517,-5.66663
BT2,54.59309,-5.92932
BT20,54.65808,-5.6641
BT21,54.63826,-5.54448
BT22,54.5032,-5.51886
BT23,54.56301,-5.71437
BT24,54.41683,-5.87232
BT25,54.39545,-6.11078
BT26,54.45201,-6.06088
BT27,54.51004,-6.02027
BT28,54.52305,-6.08804
BT29,54.62018,-6.1939
BT3,54.61999,-5.90401
BT30,54.33396,-5.70444
BT31,54.27783,-5.96992
BT32,54.33502,-6.24483
BT33,54.22095,-5.89385
BT34,54.15466,-6.18034
BT35,54.16501,-6.44355
BT36,54.67682,-5.95448
BT37,54.67658,-5.90634
BT38,54.7295,-5.79799
BT39,54.74491,-6.0171
BT4,54.6023,-5.86668
BT40,54.84659,-5.82146
BT41,54.73301,-6.25997
BT42,54.85458,-6.28215
BT43,54.89024,-6.26565
BT44,54.97416,-6.28394
BT45,54.76045,-6.63935
BT46,54.86568,-6.66393
BT47,54.97386,-7.21151
BT48,55.00933,-7.32731
BT49,55.04774,-6.95153
BT5,54.5887,-5.87004
BT51,55.05761,-6.68
BT52,55.13423,-6.65285
BT53,55.08519,-6.47305
BT54,55.19997,-6.25787
BT55,55.17971,-6.71005
BT56,55.19824,-6.64932
BT57,55.2014,-6.51755
BT6,54.57974,-5.89706
BT60,54.29219,-6.64951
BT61,54.3679,-6.62264
BT62,54.41256,-6.46416
BT63,54.40362,-6.38916
BT64,54.44938,-6.39252
BT65,54.44496,-6.36581
BT66,54.45514,-6.33292
BT67,54.48713,-6.26832
BT68,54.36626,-6.84743
BT69,54.42425,-6.94843
BT7,54.58158,-5.92356
BT70,54.51495,-6.88672
BT71,54.51322,-6.70402
BT74,54.3432,-7.66425
BT75,54.37531,-7.31559
BT76,54.41941,-7.19167
BT77,54.42711,-7.11701
BT78,54.57165,-7.37371
BT79,54.62422,-7.20073
BT8,54.53994,-5.90409
BT80,54.64464,-6.74869
BT81,54.69395,-7.61369
BT82,54.82576,-7.42777
BT9,54.57176,-5.94894
BT92,54.22294,-7.46184
BT93,54.4651,-7.8264
BT94,54.37595,-7.54078
CA1,54.88535,-2.91046
CA10,54.61104,-2.65966
CA11,54.66422,-2.78611
CA12,54.60214,-3.13326
CA13,54.65997,-3.36589
CA14,54.63454,-3.53704
CA15,54.71165,-3.48096
CA16,54.57413,-2.48269
CA17,54.47841,-2.35037
CA18,54.35408,-3.38958
CA19,54.38651,-3.38297
CA2,54.88415,-2.9494
CA20,54.40987,-3.46081
CA21,54.44516,-3.51451
CA22,54.48001,-3.53123
CA23,54.51465,-3.49236
CA24,54.51493,-3.54181
CA25,54.52243,-3.51737
CA26,54.54445,-3.48108
CA27,54.49091,-3.59186
CA28,54.54324,-3.57689
CA3,54.9076,-2.93904
CA4,54.84636,-2.83326
CA5,54.85485,-3.0157
CA6,54.99423,-2.8926
CA7,54.80696,-3.23702
CA8,54.93895,-2.68531
CA9,54.80176,-2.4185
CB1,52.17611,0.18955
CB10,52.02989,0.26551
CB11,51.99938,0.21443
CB2,52.16276,0.13333
CB21,52.13194,0.29553
CB22,52.12718,0.12898
CB23,52.21349,-0.02215
CB24,52.31538,0.02762
CB25,52.26083,0.23615
CB3,52.21324,0.02448
CB4,52.24312,0.11521
CB5,52.23868,0.21021
CB6,52.40388,0.22434
CB7,52.36606,0.32087
CB8,52.23083,0.42659
CB9,52.08212,0.44187
CF10,51.47387,-3.17648
CF11,51.47281,-3.19229
CF14,51.51947,-3.20216
CF15,51.53401,-3.27319
CF23,51.5155,-3.15016
CF24,51.48479,-3.16379
CF3,51.51947,-3.11134
CF31,51.50876,-3.57514
CF32,51.55992,-3.58268
CF33,51.52424,-3.69101
CF34,51.61024,-3.65087
CF35,51.52211,-3.51793
CF36,51.48456,-3.69818
CF37,51.6026,-3.33288
CF38,51.56034,-3.33164
CF39,51.60153,-3.42382
CF40,51.62009,-3.45041
CF41,51.64758,-3.48164
CF42,51.66685,-3.52132
CF43,51.65788,-3.44872
CF44,51.71802,-3.45788
CF45,51.66882,-3.36085
CF46,51.66501,-3.3
CF47,51.75139,-3.37492
CF48,51.74067,-3.3688
CF5,51.48219,-3.2415
CF61,51.40748,-3.47962
CF62,51.40412,-3.30841
CF63,51.4119,-3.25542
CF64,51.43328,-3.18838
